ID,Abbr,Agency
213,A-ROC,Alternate Regional Operations Center
214,ARPA,Advanced Research Projects Agency
217,ARRL,American Radio Relay League
218,ARSOF,Army Special Operations Forces
221,ARTCC,Air Route Traffic Control Center
223,ARWO,Aerial Reconnaissance Weather Office
229,ASCE,American Society of Civil Engineers
233,ASDSO,Association of State Dam Safety Officials
234,ASEAN,Association of Southeast Asian Nations
235,ASFPM,Association of State Floodplain Managers
236,ASIS,American Society for Industrial Security
237,ASLB,Atomic Safety and Licensing Board
239,ASME,American Society of Mechanical Engineers
240,ASMRO,Armed Services Medical Regulating Office
242,ASPE,American Society of Professional Estimators
243,ASPRS,American Society of Photogrammetry and Remote Sensing
245,ASSE,American Society of Safety Engineers
249,ASTHO,Association of State and Territorial Health Offices
251,ASTM,American Society for Testing and Materials
256,ATB,Applied Technology Board
262,ATF,"Bureau of Alcohol, Tobacco, and Firearms"
272,ATSDR,Agency for Toxic Substances and Disease Registry
277,ATWC,Alaska Tsunami Warning Center
280,AUVSI,Association for Unmanned Vehicle Systems International
281,AVC,Alaska Volcano Center
293,AWRA,American Water Resources Association
296,BACM,Business Alliance for Customs Modernization
297,BAER,Burned Area Emergency Rehabilitation
302,BATF,"Bureau of Alcohol, Tobacco, and Firearms"
303,BBRS,Board of Building Regulations and Standards
309,BCIS,Bureau for Citizenship and Immigration Services
313,BDC,Bomb Data Center
320,BENS,Business Executives for National Security
328,BGAD,Blue Grass Army Depot
329,BGCA,Blue Grass Chemical Activity
331,BICE,Bureau of Immigration and Customs Enforcement
333,BIFC,Boise Interagency Fire Center
340,BLM,Bureau of Land Management
343,BMC,Bomb Management Center
351,BOR,Bureau of Reclamation
361,BPWG,Best Practices Working Group
364,B&SA,Bureau and Statistical Agent
365,BSC,Building Security Committee
369,BSSC,Building Seismic Safety Council
394,CAG,Core Agency Group
404,CAPA,Coalition of Airline Pilot Association
405,CAPC,Civil Aviation Planning Committee
417,CASU,Centralized Administrative Services Unit
438,CBD,Chemical and Biological Defense
439,CBDCOM,Chemical and Biological Defense Command
443,CBIAC,Chemical and Biological Information Analysis Center
444,CBIRF,Chemical/Biological Incident Response Force
445,CBP,Customs and Border Protection
446,CBPMO,Customs and Border Protection Modernization Office
447,CBQRF,Chemical-Biological Quick Response Force
461,CCB,Configuration Control Board
463,CCFP,Center for Civil Force Protection
464,CCG,Crisis Coordination Group
468,CCND,Consultative Committee on Natural Disasters
470,CCRA,Canada Customs and Revenue Agency
471,CCSL,Command and Control Simulation Lab
476,CDC,Centers for Disease Control and Prevention
477,CDCP,Center for Disease Control and Prevention
479,CDERA,Caribbean Disaster Emergency Response Agency
483,CDP,Center for Domestic Preparedness
485,CDRG,Catastrophic Disaster Response Group
486,CDRG-PAC,Catastrophic Disaster Response Group - Primary Agency Committee
492,CEA,Council of Economic Advisors
493,CEB,Contractor Evaluation Board
495,CED,Committee for Economic Development
499,CEMA,Consumer Electronics Manufacturers Association
502,CEMO,Canada Emergency Measures Organization
506,CENR,Committee on Environment and Natural Resources
509,CEOC,County Emergency Operations Center
510,CEOS,Committee on Earth-Orbiting Satellites
511,CEPA,Canadian Emergency Preparedness Association
513,CEPPO,Chemical Emergency Preparedness and Prevention Office
514,CEQ,Council on Environmental Quality
515,CERC,Coastal Engineering Research Center
518,CERT/CC,Computer Emergency Response Team/Coordination Center
522,CEXS,Cooperative Extension Service
526,CFIUS,Committee for Foreign Investment in the United States
527,CFIVSAC,Commercial Fishing Industry Vessel Safety Advisory Committee
530,CFSA,Consolidated Farm Service Agency
531,CFSI,Congressional Fire Services Institute
532,CFTC,Commodity Futures Trading Commission
533,CGD,Coast Guard District
534,CGEOC,Canadian Government Emergency Operations Center
536,CGISS,Center for Geophysical Investigation of the Shallow Subsurface
538,CGS,Council of Graduate Schools
544,CHEMTREC,Chemical Transportation Emergency Center
550,CIA,Central Intelligence Agency
551,CIAD,Congressional and Intergovernmental Affairs Division
555,CICAD,Center for Intelligence Collection Analysis and Dissemination  
557,CID,"Criminal Investigation Division or Department, Community Identification"
558,CIDA,Canadian International Development Agency
561,CIFFC,Canadian Interagency Forest Fire Centre
565,CIMA,Channel Industry Mutual Aid
578,CIPB,Critical Infrastructure Protection Board
579,CIPIC,Critical Infrastructure Protection Information Center
580,CIPWG,Critical Infrastructure Protection Working Group
581,CIRG,Critical Incident Response Group
585,CITAC,Computer Intrusion Threat Assessment Center
586,CITO,Central Imagery Tasking Office
598,CMCAC,Crisis Management Center Augmentation Cadre
601,CMG,Consequence Management Group
602,CMHS,Center for Mental Health Services
605,CMOC,Civil Military Operations Center
613,CNSC,Canadian Nuclear Safety Commission
615,CNSNS,Commission for Nuclear Safety and Safeguards
620,COAC,Customs Operations Advisory Committee
622,COAP,Center for Ocean Analysis and Prediction
630,COE,Corps of Engineers
645,CONUSA,Continental United States Army
657,COUSCS,Advisory Committee on Commercial Operations of the US Customs Service
659,CPA,Coalition Provisional Authority
662,CPC,Climate Prediction Center
666,CPHC,Central Pacific Hurricane Center
676,CPSC,Consumer Product Safety Commission
681,CRAF,Civil Reserve Air Fleet
685,CRDC,Cybersecurity Research & Development Center
687,CREW,Cascadia Region Earthquake Workgroup
691,CRREL,Cold Region Research and Engineering Laboratory
696,CRWRC,Christian Reformed World Relief Committee
703,CSEM,Center for the Study of Emergency Management
705,CSH,Combat Support Hospital
706,CSHIB,Chemical Safety and Hazards Investigation Board
707,CSIL,Commercial Satellite Imagery Library
712,CSREES,Cooperative State Research Education and Extension Service
713,CSTARC,"Cyber Security Tracking, Analysis, & Response Center"
714,CSTE,Council of State and Territorial Epidemiologists
717,CTAC,Chemical Transportation Advisory Committee
720,CTIA,Cellular Telecommunications & Internet Association
722,CTOC,Containerized Tactical Operations Center
723,CTOEM,Connecticut Office of Emergency Management
728,CTUIR,Confederated Tribes of the Umatilla Indian Reservation
730,CUREE,Consortium of Universities for Research in Earthquake Engineering
731,CUSEC,Central United States Earthquake Consortium
741,CWU,Church World United
748,DAAC,Distributed Active Archive Center
757,DA PAM,Department of the Army Pamphlet
761,DARO,Defense Airborne Reconnaissance Office
762,DARPA,Defense Advanced Research Project(s) Agency
763,DASC,Disaster Assistance Support Center
772,DCAA,Defense Contract Audit Agency
775,DCCC,Defense Collection Coordination Center
776,DCD,Deseret Chemical Depot
777,DCEMA,District of Columbia Emergency Management Agency
795,DECD,Department of Economic and Community Development
797,DED,Department of Education
809,DESCOM,Depot System Command
813,DFAIT,Department of Foreign Affairs and International Trade
814,DFAS,Defense Financial Accounting Service
815,DFC,Disaster Finance Center
821,DFSG,Disaster Financial Services Group
823,DFTO,Disaster Field Training Office
837,DHS,Department of Homeland Security
838,DHUD,Department of Housing and Urban Development
839,DIA,Defense Intelligence Agency
844,DIHS,Division of Immigration Health Services
845,DII,Defense Information Infrastructure
848,DIRC,Disaster Information Resource Center
849,DIRNSA,National Security Agency
850,DIS,Defense Investigative Service
851,DISA,Defense Information Systems Agency
853,DISCO,Defense Industrial Security Clearance Office
855,DLA,Defense Logistics Agency
861,DMAC,Disaster Management Advisory Committee
875,DMV,Department of Motor Vehicles
878,DNR,Department of Natural Resources
880,DOD,Department of Defense
881,DODD,Department of Defense Directive
882,DODESB,Department of Defense Explosive Safety Board
884,DOE,Department of Energy
885,DOEd,Department of Education
886,DOH,Department of Health
887,DOI,Department of the Interior
889,DOJ,Department of Justice
890,DOL,Department of Labor
897,DOT,Department of Transportation
900,DPC,Domestic Policy Council
905,DPOD,Disaster Personnel Operations Division
908,DPS,Department of Public Safety
909,DPW,Department of Public Works
912,DRC,Disaster Recovery Center
916,DRO,Detention and Removal Office
917,DRSS,Division of Radiation Safety and Safeguards
920,DSB,Defense Science Board
923,DSCA,Defense Support to Civil Authority 
932,DSWA,Defense Special Weapons Agency
938,DTIC,Defense Technical Information Center
941,DTO,Drug Trafficking Organization
943,DTRA,Defense Threat Reduction Agency
944,DTRG,Defense Technical Response Group
946,DTS,Diplomatic Telecommunications Service
947,DTSA,Defense Technical Security Agency
955,DVA,Department of Veterans Affairs
958,DWR,Department of Water Resources
961,EACC,Eastern Area Coordination Center
962,EACG,Eastern Area Coordinating Group
964,EADRCC,Euro-Atlantic Disaster Response Coordination Center
977,ECC,Emergency Communications Center
980,ECFG,Emergency Coordination Functional Group
987,EDA,Economic Development Administration
988,EDAC,Economic Defense Advisory Committee
1000,EEOC,Equal Employment Opportunity Commission
1002,EERI,Earthquake Engineering Research Institute
1010,EFSNB,Emergency Food and Shelter National Board
1018,EICC,Emergency Information and Coordination Center
1028,EJ,Environmental Justice
1029,ELC,Engineering Logistics Center
1032,ELR,Employee Labor Relations
1033,EMA,Emergency Management Agency
1042,EML,Environmental Measurements Laboratory
1044,EMOC,Emergency Management Operations Center
1048,EMPO,Emergency Medical Preparedness Office
1052,EMSHG,Emergency Management Strategic Healthcare Group
1064,EOIR,Executive Office for Immigration Review
1066,EOO,Emergency Operations Organization
1071,EPA,Environmental Protection Agency
1079,EPPC,Emergency Prevention and Preparedness Council 
1084,EQPCE,Earthquake Preparedness Center of Expertise
1088,ERB,Economic Resources Board
1090,ERCG,Emergency Response Coordination Group
1092,ERDA,Energy Research and Development Administration
1093,ERDEC,"Edgewood Research, Development and Engineering Center"
1095,ERG,Emergency Relocation Group
1096,ERL,Environmental Research Laboratories 
1103,ERPS,Effluents Radiation Protection Section
1106,ERSAC,Emergency Response Senior Advisory Committee
1115,ESC,Executive Steering Committee
1135,ESFLG,Emergency Support Function Leaders Group
1136,ESGR,Employer Support of the Guard and Reserve
1137,ESIC,Earth Science Information Center
1145,ETOC,Emergency Tactical Operations Center
1151,EWAC,Emergency Worker and Assistance Center
1152,EWC,Emergency Worker Center
1157,EWRI,Environmental and Water Resources Institute
1162,FAB,FEMA Advisory Board
1170,FAMA,Fire Apparatus Manufacturer's Association
1172,FAMS,Federal Air Marshal Service
1174,FAOC,FEMA Alternate Operations Center
1178,FASSE,Federal Agency Support Service Element
1182,FBI,Federal Bureau of Investigation
1183,FBIIC,Financial and Banking Information Infrastructure Committee
1188,FCA,Farm Credit Administration
1189,FCD,Financial Crimes Division
1190,FCE,Functional Capability Element
1191,FCIC,Federal Crop Insurance Corporation
1198,FDA,Food and Drug Administration
1199,FDIC,Federal Deposit Insurance Corporation
1200,FDL,Forensic Documents Laboratory
1208,FedCIRC,Federal Computer Incident Response Center
1216,FEI,Federal Executive Institute
1218,FEMA,Federal Emergency Management Agency
1228,FFI,Financial Fraud Institute
1229,FFRDC,Federally Funded Research & Development Center
1230,FGCC,Federal Geodetic Coordinating Committee
1231,FGDC,Federal Geographic Data Committee
1236,FHWA,Federal Highway Administration
1237,FIAB,Foreign Intelligence Advisory Board
1238,FICC,Federal Interagency Coordination Council
1239,FICEMS,Federal Interagency Committee on Emergency Medical Services
1240,FICO,Flood Insurance Claims Office
1243,FinCen,Financial Center
1244,FIOC,Federal Interagency Operations Center
1246,FIPNC,Flood Insurance Producers National Committee
1254,FLAG,FEMA Logistics Advisory Group
1256,FLETC,Federal Law Enforcement Training Center
1259,FLRA,Federal Labor Relations Authority
1261,FMA,Floodplain Management Association
1263,FMANA,Fire Marshals Association of North America
1265,FMCS,Federal Mediation and Conciliation Service
1266,FMCSA,Federal Motor Carrier Safety Administration
1267,FMDC,Flood Map Distribution Center
1270,FmHA,Farmers Home Administration
1276,FMSIS,Flood Map Status Information Service
1281,FNS,Food and Nutrition Services
1292,FPA,Federal Preparedness Agency
1293,FPDL,Fire Protection Demonstration Lab
1298,FPL,Florida Power & Light
1300,FPS,Federal Protective Service
1301,FRA,Federal Railroad Administration
1302,FRB,Federal Reserve Board
1308,FRMAC,Federal Radiological Monitoring and Assessment Center
1311,FRO,Flood Response Office
1313,FRPCC,Federal Radiological Preparedness Coordinating Committee
1316,FRSSB,Facilities Radiological Safety and Safeguards Branch
1317,FRTIB,Federal Retirement Thrift Investment Board
1321,FSDO,Flight Service District Office
1323,FSG,Financial Services Group
1325,FSIS,Food Safety and Inspection Service
1326,FSIU,Field Support Intelligence Unit
1328,FSLIC,Federal Savings and Loan Insurance Corporation
1338,FTA,Federal Transit Administration
1344,FTO,Foreign Terrorist Organizations
1355,FWS,Fish and Wildlife Service
1360,FZDC,Flood Zone Determination Company
1364,GAAWG,General Aviation Airports Working Group
1365,GACC,Geographic Area Coordination Center
1368,GAMA,General  Aviation Manufacturers Association
1369,GANTSEC,Greater Antilles Section
1370,GAO,General Accounting Office
1389,GEMA,Georgia Emergency Management Agency
1398,GGI&S,Global Geospatial Information and Services
1404,GLPAC,Great Lakes Pilotage Advisory Committee
1417,GOSC,Global Operations Security Center
1422,GPMRC,Global Patient Movement Requirements Center
1423,GPO,Government Printing Office
1429,GSA,General Services Administration
1447,HARTline,Hillsborough Area Regional Transit Authority
1456,HC,Health Canada
1458,HCFA,Health Care Financing Administration
1459,HCO,Human Capital Office
1460,HCTS,Hazardous Cargo Transportation Security
1467,HEC,Hydrologic Engineering Center
1475,HET,Headquarters Emergency Transportation
1480,HHC,Headquarters and Headquarters Company
1481,HHD,Headquarters and Headquarters Detachment
1483,HHS,Health and Human Services
1484,HHSEOC,Health and Human Services Emergency Operations Center
1493,HMAC,Hazardous Materials Advisory Council
1512,HPC,Hydrometeorological Prediction Center
1517,HQDA,Headquarters Department of the Army
1518,USACE,US Army Corps of Engineers
1520,HRD,Human Resources Division
1526,HSAC,Homeland Security Advisory Council
1527,HSARPA,Homeland Security Advanced Research Projects Agency
1536,HSOC,Homeland Security Operations Center
1538,HSPD,Homeland Security Presidential Directive
1540,HSTTIG,Homeland Security Terrorist Threat Intelligence Group
1541,HSUS,The Humane Society of the United States
1545,HUD,Housing and Urban Development
1546,HUG,HAZUS User Group
1553,HWC,Health and Welfare Canada
1560,IAC,Information Analysis Center
1563,IACP,International Association of Chiefs of Police
1564,IAE,Integrated Acquisition Environment
1565,IAEA,International Atomic Energy Agency
1566,IAEM,International Association of Emergency Managers
1567,IAFC,International Association of Fire Chiefs
1568,IAFF,International Association of Fire Fighters
1571,IAI,International Association for Identifications
1572,IAIP,Information Analysis and Infrastructure Protection
1576,IARLJ,International Association of Refugee Law Judges
1578,IASIR,International Association of Security and Investigative Regulators
1580,IATA,International Air Transport Association
1585,IBC,International Broadcast Center
1589,IBHS,Institute for Business and Home Safety
1592,IBT,International Brotherhood of Teamsters
1593,IBWA,International Bottled Water Association
1594,ICAF,Industrial College of the Armed Forces
1595,ICAO,International Civil Aviation Organization
1598,ICCB,Intergovernmental Consultation and Coordination Board
1599,ICCOH,Interagency Coordinating Committee On Hurricanes
1603,ICISF,International Critical Incident Stress Foundation
1605,ICMA,International City/County Management Association
1607,ICODS,Interagency Committee on Dam Safety
1608,ICPACC,Incident Communications Public Affairs Coordination Committee
1609,ICPAE,Interagency Committee on Public Affairs in Emergencies
1612,ICRC,International Committee of the Red Cross
1613,ICRP,International Commission on Radiological Protection
1614,ICSSC,Interagency Committee on Seismic Safety in Construction
1617,IDEM,Iowa Department of Emergency Management
1624,IDR,Institute for Disaster Research
1626,IEMA,Illinois Emergency Management Agency
1628,IEMG,International Emergency Management Group
1634,IFALPA,International Federation of Airline Pilots Association
1640,IFPA,Institute for Foreign Policy Analysis
1650,IHS,Indian Health Service
1651,IICT,Interagency Intelligence Committee on Terrorism
1652,IIFC,Information/Intelligence Fusion Center
1654,IIMG,Interagency Incident Management Group
1656,IIPLR,Insurance Institute for Property Loss Reduction
1657,IIPO,Information Integration Program Office
1662,ILEA,International Law Enforcement Academy
1665,IMAAC,Interagency Modeling and Atmospheric Assessment Center
1668,IMG,Information Management Group
1670,IMO,International Maritime Organization
1672,IMRD,Information Management and Requirements Division
1678,INEEL,Idaho National Engineering and Environmental Laboratory
1679,INER,Interagency National Executive Reserve
1687,INSARAG,International Search and Rescue Advisory Group
1690,INTERPOL,International Criminal Police Organization
1692,IOS,International Organization for Standardization
1697,IPSCOM,Imagery Policy and Security Committee
1700,IRAC,Interagency Radiological Assistance Committee
1704,IRI,Industrial Research Institute
1705,IRIS,Incorporated Research Institutions for Seismology
1707,IRMS,Information Resources Management Service
1710,IRS,Internal Revenue Service
1713,ISAAG,Information Systems Architectural Advisory Group
1715,ISACA,Information Systems Audit and Control Association
1716,ISAO,Information Sharing and Analysis Organization
1719,ISD,Infrastructure Services Division
1722,ISEMA,Indiana State Emergency Management Agency
1723,ISI,Immigration Security Initiative
1726,ISMA,International Security Management Association
1727,ISOO,Information Security Oversight Office
1728,ISPAG,Information Systems Policy Advisory Group
1730,ISSA,Information Systems Security Association
1734,I-STAFF,DHS Headquarters Operational Integration Staff
1738,ISVB,Imagery Science Validation Board
1740,ITAA,Information Technology Association of America
1743,ITD,International Training Division
1748,ITIC,International Tsunami Information Center
1752,ITSD,Information Technology Services Directorate
1755,ITWG,International Technical Working Group
1763,JAC,Joint Advisory Committee
1771,JCAH,Joint Commission on Accreditation of Hospitals
1772,JCAHO,Joint Commission on Accreditation of Healthcare Organizations
1775,JDCC,Joint Data Coordination Center
1778,JECG,Joint Exercise Control Group
1781,JEOC,Joint Emergency Operations Center
1789,JHEC,Joint Hazard Evaluation Center
1791,JIACG,Joint Interagency Coordination Group
1794,JIB,Joint Information Bureau
1795,JICPAC,Joint Intelligence Center
1796,JIISE,Joint Interagency Intelligence Support Element
1798,JIOC,Joint Investigative Operations Center
1800,JMC,Joint Movement Center
1803,JMMO,Joint Medical Mobilization Office
1804,JMRO,Joint Medical Regulating Office
1806,JNACC,Joint Nuclear Accident Coordinating Center
1808,JOC,Joint Operations Center
1812,JPEG,Joint Photographic Experts Group
1813,JPIC,Joint Public Information Center
1814,JPMRC,Joint Patient Movement Requirements Center
1816,JPO,Joint Program Office
1820,JRMPO,Joint Regional Medical Planning Office
1826,JTA,Jacksonville Transportation Authority
1834,JTRB,Joint Telecommunications Resources Board
1836,JTWC,Joint Typhoon Warning Center
1845,KCCO,Kansas City Commodity Office
1860,LAC,Local Assistance Center
1864,LANL,Los Alamos National Laboratory
1884,LeeTran,Lee County Transit Authority
1888,LEMA,Local Emergency Management Authority
1889,LEOC,Local Emergency Operations Center
1890,LEPC,Local Emergency Planning Committee
1891,LEPPC,Local Emergency Prevention and Preparedness Council
1894,LESC,Law Enforcement Support Center
1902,LEWG,Law Enforcement Working Group
1903,LFA,Lead Federal Agency
1906,LFEOC,Local Federal Emergency Operations Center
1912,LHD,Local Health Department
1924,LLEA,Local Law Enforcement Agency
1925,LLNL,Lawrence Livermore National Laboratory
1930,LMDC,Lower Manhattan Development Corporation
1941,LOEP,Louisiana Office of Emergency Preparedness
1956,LPPC,Local Preparedness and Prevention Council
1978,LYNX,Central Florida Regional Transportation Authority
1984,MACGp,Multi-Agency Coordination Group
1987,MAEC,Mid-America Earthquake Center
1991,MAGIC,Mid-America GIS Council
1995,MARAC,Mutual Aid Regional Advisory Committee
1996,MARAD,Maritime Administration
1997,MARC,Maryland Rail Commuter
2021,MCEER,Multidisciplinary Center for Earthquake Engineering Research
2023,MCMC,Mid-Continent Mapping Center
2025,MCO,MERS Coordination Office
2026,MCOC,Marine Corps Operations Center
2070,MIACC,Major Industrial Accidents Council of Canada
2075,MIFC,Maritime Intelligence Fusion Center
2084,MLAT,Mutual Legal Assistance Treaty
2089,MMC,Main Media Center
2094,MMPAC,Merchant Marine Personnel Advisory Committee
2096,MMS,Minerals Management Service
2102,MOB Center,Mobilization Center
2103,MOC,Mobile Operations Center
2112,MPEG,Motion Picture Expert Group
2123,MRIC,Mobile Reconstruction Information Center
2124,MRMC,Medical Research and Materiel Command
2131,MSCA,Military Support to Civil Authorities
2132,MSCLEA,Military Support to Civilian Law Enforcement Agencies
2138,MSHA,Mine Safety and Health Administration
2139,MSIC,Missile & Space Intelligence Center
2144,MSPB,Merit Systems Protection Board
2150,MTMC,Military Traffic Management Command
2155,MUDAC,Meteorological and Unified Dose Assessment Center
2160,MWCOG,Metropolitan Washington Council of Governments
2161,MWEAC,Mt Weather Emergency Assistance Center
2162,MWEOC,Mt Weather Emergency Operations Center
2172,NACA,National Air Carrier Association
2174,NACCHO,National Association of County and City Health Officials
2175,NACD,National Association of Corporate Directors
2176,NACE,National Association of County Engineers
2177,NACI,National Agency Check with Inquiries
2178,NACo,National Association of Counties
2182,NADO,National Association of Development Organizations
2185,NAFSMA,National Association of Flood & Stormwater Management Agencies
2187,NAHB,National Association of Home Builders
2190,NAII,National Association of Independent Insurers
2191,NAIIA,National Association of Independent Insurance Adjusters
2193,NAMRI,Naval Medical Research Institute
2194,NAOC,National Airborne Operations Center
2197,NAPA,National Academy of Public Administration
2199,NARA,National Archives and Records Administration
2200,NARAC,National Atmospheric Release Advisory Center
2205,NARTC,National Advanced Resource Technology Center
2206,NAS,National Academy of Sciences
2207,NASA,National Aeronautics and Space Administration
2208,NASAR,National Association for Search and Rescue
2209,NASCDD,National Association of State Civil Defense Directors
2210,NASEMSD,National Association of State Emergency Medical Services Directors
2211,NASFM,National Association of State Fire Marshals
2213,NASTTPO,National Association of State Title Three Program Officials
2214,NASULGC,National Association of State Universities and Land-Grant Colleges
2215,NATCA,National Air Traffic Controllers Association
2216,NATO,North Atlantic Treaty Organization
2220,NAWE,National Association for Waterfront Employees
2221,NBACC,National Biosecurity Analysis and Countermeasures Center
2223,NBFAC,National Bioforensic Analysis Center
2224,NBSAC,National Boating Safety Advisory Council
2225,NBTA,National Business Travel Association
2226,NBWDA,National BioWeapons Defense Analysis Center
2227,NCA,National Command Authority
2228,NCAI,National Congress of American Indians
2229,NCAR,National Center for Atmospheric Research
2232,NCBFAA,National Customs Brokers and Forwarders Association of America
2233,NCC,National Coordinating Center
2234,NCCC,National Council of the Churches of Christ
2235,NCCG,National Civilian Community Group
2236,NCDDM,National Center for Disaster Decision Making
2237,NCEH,National Center for Environmental Health
2238,NCEP,National Centers for Environmental Prediction
2239,NCGIA,National Center for Geographic Information and Analysis
2240,NCIC,National Crime Information Center
2241,NCID,National Center for Infectious Diseases
2242,NCIT,National Council on International Trade
2243,NCLIS,National Commission on Libraries and Information Science
2244,NCMEC,National Center for Missing and Exploited Children
2250,NCRPM,National Council on Radiation Protection and Measurements
2251,NCSA,National Center for Supercomputing Applications
2252,NCSD,National Cyber Security Division
2253,NCSL,National Council of State Legislators
2254,NCSLLET,National Center for State & Local Law Enforcement Training
2258,NCTC,National Counterterrorism Center
2259,NCUA,National Credit Union Administration
2262,NDAC,Network Design and Analysis Center
2263,NDC,National Data Center
2264,NDEA,National Defense Emergency Authorization
2265,NDEC,National Disaster Education Coalition
2268,NDIA,National Defense Industry Association
2269,NDIC,National Drug Intelligence Center
2270,NDMC,National Drought Mitigation Center
2271,NDMOC,National Disaster Medical Operations Center
2273,NDMSOSC,National Disaster Medical System Operations Support Center
2274,NDPO,National Domestic Preparedness Office
2276,NDW,Naval District of Washington
2277,NEC,National Earthquake Center
2279,NRCC,National Response Coordination Center
2280,NECD,Newport Chemical Depot
2285,NEFSMA,New England Floodplain and Stormwater Managers Association
2287,NEHA,National Environmental Health Association
2289,NEI,Nuclear Energy Institute
2290,NEIC,National Earthquake Information Center
2291,NEIS,National Earthquake Information Service
2295,NENA,National Emergency Number Association
2297,NEOC,National Emergency Operations Center
2299,NEPPC,National Emergency Prevention and Preparedness Council
2300,NERC,North American Electric Reliability Council
2302,NESEC,Northeast States Emergency Consortium
2307,NETAC,National Environmental Technology Application Center
2309,NETC,National Emergency Training Center
2313,NFA,National Fire Academy
2316,NFDC,National Fire Data Center
2318,NFFE,National Federation of Federal Employees
2319,NFFF,National Fallen Firefighters Foundation
2322,NFIB,National Foreign Intelligence Board
2323,NFIC,National Fire Information Council
2329,NFPA,National Fire Protection Association
2330,NFPCA,National Fire Prevention and Control Administration
2334,NFSC,Narcotics Financing Strategy Center
2335,NFSCC,National Fire Science Curriculum Committee 
2338,NGDC,National Geophysical Data Center
2346,NHC,National Hurricane Center
2348,NHTSA,National Highway Transportation Safety Administration
2352,NIBS,National Institute of Building Sciences
2353,NICC,National Interagency Coordination Center
2355,NICI,National Interagency Counterdrug Institute
2357,NIEHS,National Institute of Environmental Health Services
2358,NIEOC,National Interagency Emergency Operations Center
2359,NIER,National Industrial Equipment Reserve
2360,NIFC,National Interagency Fire Center
2361,NIFCC,National Interagency Fire Coordination Center
2365,NIJ,National Institute of Justice
2366,NIMA,National Imagery and Mapping Agency
2370,NIMH,National Institutes of Mental Health
2374,NIOSH,National Institute for Occupational Safety and Health
2376,NIPC,National Infrastructure Protection Center
2381,NISAC,National Infrastructure Simulation and Analysis Center
2382,NISE,National Intelligence Support Element
2383,NIST,National Institute of Standards and Technology 
2384,NIUSR,National Institute for Urban Search and Rescue
